14.9339 	INFO 	Loaded monitor calibration from ['2024_10_29 21:52']
15.1599 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fe4b2c92340>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fe4b2c922e0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fe4ca5d0d90>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([3420, 2224]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
15.1600 	EXP 	window1: backgroundImage = ''
15.1600 	EXP 	window1: backgroundFit = 'none'
15.1735 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.1748 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.1760 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.1778 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.1795 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.1800 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.1811 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.1830 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.1833 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.1835 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.1848 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.1860 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.1871 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.1883 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.1891 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.1905 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.1917 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.1920 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.1925 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.1943 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.1946 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.1955 	DEBUG 	Uploading Texture Font fontname to graphics card
15.2006 	DEBUG 	Upload of Texture Font fontname complete
15.2071 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.2089 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.2106 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
15.2107 	DEBUG 	Uploading Texture Font fontname to graphics card
15.2127 	DEBUG 	Upload of Texture Font fontname complete
